source_event_id,case_id,activity,from_ts,to_ts,resource,depot,area,equipment_id,equipment_type,cost_amount,priority
,WO-2026-00001,Fault Reported,2026-03-19 19:17:00,2026-03-19 21:49:00,T-202,South Depot,C-Workshop,EQ-1682,Pump,1145.51,Medium
,WO-2026-00001,Triaged,2026-03-19 19:37:00,2026-03-19 21:41:00,T-202,South Depot,C-Workshop,EQ-1682,Pump,1236.52,High
,WO-2026-00001,Parts Ordered,2026-03-22 20:37:00,2026-03-22 22:53:00,T-202,South Depot,C-Workshop,EQ-1682,Pump,,Low
,WO-2026-00001,Parts Received,2026-03-23 00:05:00,2026-03-23 01:06:00,T-202,South Depot,C-Workshop,EQ-1682,Pump,857.35,High
,WO-2026-00001,Repair Started,2026-03-23 08:05:00,2026-03-23 09:47:00,T-202,South Depot,C-Workshop,EQ-1682,Pump,1644.00,High
,WO-2026-00001,Repair Completed,2026-03-23 16:05:00,2026-03-23 17:03:00,T-202,South Depot,C-Workshop,EQ-1682,Pump,2160.75,Medium
EVT-0000007,WO-2026-00001,Tested,2026-03-23 19:17:00,2026-03-23 20:05:00,T-101,North Depot,C-Workshop,EQ-1682,Pump,,Low
EVT-0000008,WO-2026-00001,Returned to Service,2026-03-23 21:57:00,2026-03-23 23:18:00,T-101,North Depot,C-Workshop,EQ-1682,Pump,987.89,Low
EVT-0000009,WO-2026-00002,Fault Reported,2026-03-01 01:24:00,2026-03-01 02:23:00,T-102,North Depot,S-Field,EQ-1066,Valve Assembly,1215.95,
EVT-0000010,WO-2026-00002,Triaged,2026-03-01 03:33:00,2026-03-01 05:47:00,T-102,North Depot,S-Field,EQ-1066,Valve Assembly,1080.48,Low
EVT-0000011,WO-2026-00002,Escalated to Specialist,2026-03-01 04:37:00,2026-03-01 07:16:00,T-102,North Depot,S-Field,EQ-1066,Valve Assembly,1700.74,
EVT-0000012,WO-2026-00002,Parts Ordered,2026-03-02 16:37:00,2026-03-02 19:17:00,T-102,North Depot,S-Field,EQ-1066,Valve Assembly,550.81,Medium
EVT-0000013,WO-2026-00002,Parts Received,2026-03-02 17:22:00,2026-03-02 17:29:00,T-102,North Depot,S-Field,EQ-1066,Valve Assembly,,Low
EVT-0000014,WO-2026-00002,Repair Started,2026-03-03 01:22:00,2026-03-03 01:34:00,T-102,North Depot,S-Field,EQ-1066,Valve Assembly,,Low
EVT-0000015,WO-2026-00002,Repair Completed,2026-03-03 05:22:00,2026-03-03 07:05:00,T-102,North Depot,S-Field,EQ-1066,Valve Assembly,175.91,Low
,WO-2026-00002,Tested,2026-03-03 06:07:00,2026-03-03 06:49:00,T-302,South Depot,S-Field,EQ-1066,Valve Assembly,1306.68,
,WO-2026-00002,Returned to Service,2026-03-03 08:54:00,2026-03-03 11:47:00,T-302,South Depot,S-Field,EQ-1066,Valve Assembly,1045.57,Low
EVT-0000018,WO-2026-00003,Fault Reported,2026-05-03 19:36:00,2026-05-03 20:12:00,T-101,North Depot,N-Bay-2,EQ-1786,Compressor,,Medium
EVT-0000019,WO-2026-00003,Triaged,2026-05-03 22:45:00,2026-05-03 23:28:00,T-101,North Depot,N-Bay-2,EQ-1786,Compressor,1693.35,Medium
EVT-0000020,WO-2026-00003,Parts Ordered,2026-05-05 12:45:00,2026-05-05 14:36:00,T-101,North Depot,N-Bay-2,EQ-1786,Compressor,2164.96,Medium
EVT-0000021,WO-2026-00003,Parts Received,2026-05-05 15:11:00,2026-05-05 15:30:00,T-101,North Depot,N-Bay-2,EQ-1786,Compressor,,Medium
EVT-0000022,WO-2026-00003,Repair Started,2026-05-05 16:11:00,2026-05-05 17:24:00,T-302,Central Depot,N-Bay-2,EQ-1786,Compressor,888.29,High
EVT-0000023,WO-2026-00003,Repair Completed,2026-05-06 00:11:00,2026-05-06 00:38:00,T-302,Central Depot,N-Bay-2,EQ-1786,Compressor,1829.66,Low
EVT-0000024,WO-2026-00003,Tested,2026-05-06 02:26:00,2026-05-06 04:36:00,T-302,Central Depot,N-Bay-2,EQ-1786,Compressor,1334.97,High
EVT-0000025,WO-2026-00003,Returned to Service,2026-05-06 02:43:00,2026-05-06 02:58:00,T-302,Central Depot,N-Bay-2,EQ-1786,Compressor,845.57,
,WO-2026-00004,Fault Reported,2026-03-25 06:09:00,2026-03-25 08:28:00,T-202,South Depot,S-Bay-1,EQ-1934,Conveyor,1387.68,
,WO-2026-00004,Triaged,2026-03-25 09:22:00,2026-03-25 12:00:00,T-202,South Depot,S-Bay-1,EQ-1934,Conveyor,140.48,Medium
,WO-2026-00004,Parts Ordered,2026-03-27 14:22:00,2026-03-27 16:47:00,T-202,South Depot,S-Bay-1,EQ-1934,Conveyor,1505.50,Medium
,WO-2026-00004,Parts Received,2026-03-27 17:54:00,2026-03-27 18:20:00,T-202,South Depot,S-Bay-1,EQ-1934,Conveyor,1808.12,
,WO-2026-00004,Repair Started,2026-03-28 03:54:00,2026-03-28 04:53:00,T-202,South Depot,S-Bay-1,EQ-1934,Conveyor,421.92,High
,WO-2026-00004,Repair Completed,2026-03-28 05:54:00,2026-03-28 06:58:00,T-202,South Depot,S-Bay-1,EQ-1934,Conveyor,937.85,
,WO-2026-00004,Tested,2026-03-28 06:59:00,2026-03-28 09:20:00,T-202,South Depot,S-Bay-1,EQ-1934,Conveyor,2109.97,
,WO-2026-00004,Returned to Service,2026-03-28 07:59:00,2026-03-28 10:55:00,T-202,South Depot,S-Bay-1,EQ-1934,Conveyor,1207.08,High
EVT-0000034,WO-2026-00005,Fault Reported,2026-05-08 10:15:00,2026-05-08 12:05:00,T-302,Central Depot,N-Bay-2,EQ-1701,Compressor,2016.11,
EVT-0000035,WO-2026-00005,Triaged,2026-05-08 11:23:00,2026-05-08 11:34:00,T-302,Central Depot,N-Bay-2,EQ-1701,Compressor,718.14,Low
EVT-0000036,WO-2026-00005,Parts Ordered,2026-05-10 22:23:00,2026-05-10 23:17:00,T-302,Central Depot,N-Bay-2,EQ-1701,Compressor,1120.14,
EVT-0000037,WO-2026-00005,Parts Received,2026-05-10 23:48:00,2026-05-11 01:48:00,T-302,Central Depot,N-Bay-2,EQ-1701,Compressor,,High
EVT-0000038,WO-2026-00005,Repair Started,2026-05-11 04:48:00,2026-05-11 04:53:00,T-302,Central Depot,N-Bay-2,EQ-1701,Compressor,1584.14,Low
EVT-0000039,WO-2026-00005,Repair Completed,2026-05-11 07:48:00,2026-05-11 09:54:00,T-302,Central Depot,N-Bay-2,EQ-1701,Compressor,1654.44,Low
EVT-0000040,WO-2026-00005,Tested,2026-05-11 09:11:00,2026-05-11 11:45:00,T-102,North Depot,N-Bay-2,EQ-1701,Compressor,129.81,Low
EVT-0000041,WO-2026-00005,Returned to Service,2026-05-11 09:20:00,2026-05-11 12:08:00,T-201,Central Depot,N-Bay-2,EQ-1701,Compressor,705.64,
,WO-2026-00006,Fault Reported,2026-05-26 08:00:00,2026-05-26 08:05:00,T-202,South Depot,N-Bay-1,EQ-1170,Compressor,1576.88,High
,WO-2026-00006,Triaged,2026-05-26 11:18:00,2026-05-26 12:06:00,T-202,South Depot,N-Bay-1,EQ-1170,Compressor,1665.76,Medium
EVT-0000044,WO-2026-00007,Fault Reported,2026-05-02 23:02:00,2026-05-03 01:01:00,T-201,Central Depot,N-Bay-1,EQ-1768,Conveyor,,High
EVT-0000045,WO-2026-00007,Triaged,2026-05-03 01:36:00,2026-05-03 02:07:00,T-201,Central Depot,N-Bay-1,EQ-1768,Conveyor,771.20,Low
EVT-0000046,WO-2026-00007,Parts Ordered,2026-05-04 09:36:00,2026-05-04 11:17:00,T-201,Central Depot,N-Bay-1,EQ-1768,Conveyor,325.66,Low
EVT-0000047,WO-2026-00007,Parts Received,2026-05-04 12:51:00,2026-05-04 13:23:00,T-201,Central Depot,N-Bay-1,EQ-1768,Conveyor,,Medium
EVT-0000048,WO-2026-00007,Repair Started,2026-05-04 23:51:00,2026-05-05 01:40:00,T-201,Central Depot,N-Bay-1,EQ-1768,Conveyor,1624.50,Low
EVT-0000049,WO-2026-00007,Repair Completed,2026-05-05 05:51:00,2026-05-05 08:45:00,T-201,Central Depot,N-Bay-1,EQ-1768,Conveyor,254.32,Low
EVT-0000050,WO-2026-00007,Tested,2026-05-05 06:16:00,2026-05-05 06:34:00,T-201,Central Depot,N-Bay-1,EQ-1768,Conveyor,1817.50,
EVT-0000051,WO-2026-00007,Repair Started,2026-05-05 18:16:00,2026-05-05 19:00:00,T-201,Central Depot,N-Bay-1,EQ-1768,Conveyor,2099.42,Medium
EVT-0000052,WO-2026-00007,Repair Completed,2026-05-06 00:16:00,2026-05-06 01:59:00,T-201,Central Depot,N-Bay-1,EQ-1768,Conveyor,1239.46,Low
EVT-0000053,WO-2026-00007,Tested,2026-05-06 01:22:00,2026-05-06 03:40:00,T-201,Central Depot,N-Bay-1,EQ-1768,Conveyor,,Low
EVT-0000054,WO-2026-00007,Returned to Service,2026-05-06 03:04:00,2026-05-06 04:25:00,T-201,Central Depot,N-Bay-1,EQ-1768,Conveyor,,High
EVT-0000055,WO-2026-00008,Fault Reported,2026-02-26 17:16:00,2026-02-26 20:12:00,T-201,Central Depot,N-Bay-1,EQ-1311,Pump,2006.84,High
EVT-0000056,WO-2026-00008,Triaged,2026-02-26 19:23:00,2026-02-26 21:14:00,T-201,Central Depot,N-Bay-1,EQ-1311,Pump,264.96,High
,WO-2026-00008,Parts Ordered,2026-03-01 15:23:00,2026-03-01 16:02:00,T-301,South Depot,N-Bay-1,EQ-1311,Pump,,Low
,WO-2026-00008,Parts Received,2026-03-01 17:59:00,2026-03-01 19:51:00,T-302,South Depot,N-Bay-1,EQ-1311,Pump,,Medium
,WO-2026-00008,Repair Started,2026-03-01 23:59:00,2026-03-02 02:13:00,T-302,South Depot,N-Bay-1,EQ-1311,Pump,2162.79,High
,WO-2026-00008,Repair Completed,2026-03-02 09:59:00,2026-03-02 11:46:00,T-302,South Depot,N-Bay-1,EQ-1311,Pump,,Low
,WO-2026-00008,Tested,2026-03-02 10:43:00,2026-03-02 11:28:00,T-302,South Depot,N-Bay-1,EQ-1311,Pump,162.64,Low
,WO-2026-00008,Returned to Service,2026-03-02 13:16:00,2026-03-02 14:29:00,T-302,South Depot,N-Bay-1,EQ-1311,Pump,871.14,Low
EVT-0000063,WO-2026-00009,Fault Reported,2026-05-20 04:04:00,2026-05-20 05:20:00,T-101,North Depot,C-Workshop,EQ-1096,Generator,1323.73,Low
EVT-0000064,WO-2026-00009,Triaged,2026-05-20 04:33:00,2026-05-20 05:32:00,T-101,North Depot,C-Workshop,EQ-1096,Generator,,High
EVT-0000065,WO-2026-00009,Parts Ordered,2026-05-22 11:33:00,2026-05-22 12:47:00,T-101,North Depot,C-Workshop,EQ-1096,Generator,,
EVT-0000066,WO-2026-00009,Parts Received,2026-05-22 12:01:00,2026-05-22 12:41:00,T-101,North Depot,C-Workshop,EQ-1096,Generator,911.92,
EVT-0000067,WO-2026-00009,Repair Started,2026-05-22 19:01:00,2026-05-22 21:19:00,T-101,North Depot,C-Workshop,EQ-1096,Generator,686.34,
